!SIL	SIL
%	P AH R S EY N T
रिसन	R IH S AH N
रिसपाइल्ट	R IH S P AA IH L T
रिसर्च	R IH S AH R CH
रिसाइथ	R IH S AA IH TH
रिसाईड	R IH S AA IY D
रिसिंग	R IH S IH N G
रिसिंग	R IH S IH NG
रिसिन	R IH S IH N
रिसेकाकबूतर	R IH S EY K AA K AH B UW TH AH R
रिसेड	R IH S EY D
रिसॉन	R IH S AO N
रिसॉय	R IH S AO Y
रिसो	R IH S OW
रिसोल्ट	R IH S OW L T
रिसौन	R IH S AO N
रिस्टल	R IH S T AH L
रिस्टूरैंट	R IH S T UW R EY N T
रिस्पेक्ट	R IH S P EY K T
रिस्पेक्टिवस	R IH S P EY K T IH W AH S
रिस्पॉंड	R IH S P AO N D
री	R IY
रीझिल्ड	R IY JH HH IH L D
रीटा	R IY T AA
रीडयारीटी	R IY D AH Y AA R IY T IY
रीडली	R IY D AH L IY
रीडिली	R IY D IH L IY
रीत	R IY TH
रीथ	R IY TH
रीद्ट	R IY DH AH T
रीपाइल्ड	R IY P AA IH L D
रीप्लॅतीत	R IY P L AE TH IY TH
रीय	R IY Y
रीयड	R IY Y AH D
रीयडली	R IY Y AH D AH L IY
रीयदली	R IY Y AH DH AH L IY
रीरिज़ड़	R IY R IH Z D
रीली	R IY L IY
रीव	R IY W
रीवाइंड	R IY W AA IH N D
रीस	R IY S
रीसाईड	R IY S AA IY D
रीस्पॉन	R IY S P AO N
रीज़न	R IY Z AH N
रु	R UH
रुंट	R UH N T
रुइन	R UH IH N
रुक	R UH K
रुकने	R UH K N EY
रुक्स	R UH K S
रुटी	R UH T IY
रुडि	R UH D IH
रुडे	R UH D EY
रुद	R UH DH
रुदसे	R UH DH AH S EY
रुप	R UH P
रुपय	R UH P AH Y
रुपा	R UH P AA
रुशींग	R UH SH IY N G
रुशींग	R UH SH IY NG
रू	R UW
रून	R UW N
रूप	R UW P
रूपा	R UW P AA
रूमिंग	R UW M IH N G
रूलेड	R UW L EY D
रॅ	R AE
रॅग	R AE G
रॅटओनेड	R AE T OW N EY D
रॅटो	R AE T OW
रॅन	R AE N
रॅनेट	R AE N EY T
रॅपर	R AE P AH R
रॅपेड	R AE P EY D
रॅसुन	R AE S UH N
रे	R EY
रेंग	R EY N G
रेंट	R EY N T
रेंड	R EY N D
रेअर्स	R EY AH R S
रेआष्ट	R EY AA SH T
रेकिंग	R EY K IH N G
रेकिंग	R EY K IH NG
रेकिन	R EY K IH N
रेग	R EY G
रेगलि	R EY G AH L IH
रेगली	R EY G AH L IY
रेगुनाइज्डबल	R EY G UH N AA IH JH D AH B AH L
रेचेस	R EY CH EY S
रेज	R EY JH
रेजेड	R EY JH EY D
रेजेड्ली	R EY JH EY D L IY
रेज्ड	R EY JH D
रेटिस्ट	R EY T IH S T
रेटी	R EY T IY
रेटु	R EY T UH
रेटुने	R EY T UH N EY
रेटुरेंड	R EY T UH R EY N D
रेड	R EY D
रेडली	R EY D AH L IY
रेडियल	R EY D IH Y AH L
रेडिली	R EY D IH L IY
रेडी	R EY D IY
रेडीयेट	R EY D IY Y EY T
रेडीली	R EY D IY L IY
रेडुयुजींग	R EY D UH Y UH JH IY N G
रेडुयुजींग	R EY D UH Y UH JH IY NG
रेडूस	R EY D UW S
रेडेटिंग	R EY D EY T IH N G
रेडेटिंग	R EY D EY T IH NG
रेड्ली	R EY D L IY
रेना	R EY N AA
रेनेन	R EY N EY N
रेप	R EY P
रेपलीड	R EY P AH L IY D
रेपस्ट	R EY P AH S T
रेप्लिड	R EY P L IH D
रेप्लिन	R EY P L IH N
रेप्ले	R EY P L EY
रेफर	R EH P HH AH R
रेफूसे	R EY P HH UW S EY
रेफ्यूसे	R EY P HH Y UW S EY
रेबिश	R EY B IH SH
रेम	R EY M
रेमन	R EY M AH N
रेमे	R EY M EY
रेल्ली	R EY L L IY
रेवल	R EY W AH L
रेवार्डेड	R EY W AA R D EH D
रेश	R EY SH
रेशम	R EY SH AH M
रेशमा	R EY SH AH M AA
रेशेम	R EY SH EY M
रेशॉन	R EY SH AO N
रेष्टुरंट	R EY SH T UH R AH N T
रेसन	R EY S AH N
रेसवौइल	R EY S W OY L
रेसिड	R EY S IH D
रेसिपी	R EH S IH P IY
रेसीप	R EY S IY P
रेसेड	R EY S EY D
रेसॉन	R EY S AO N
रेस्क्यो	R EY S K Y OW
रेस्टेड	R EY S T EY D
रेस्टॉन्स	R EY S T AO N S
रेस्ट्रौ	R EY S T R AO
रेस्तेन	R EY S TH EY N
रेस्तॉइंज	R EY S TH AO IH N JH
रेह	R EY HH
रेहता	R EY HH TH AA
रैपेलिड	R EY P EH L IH D
रॉकर	R AO K AH R
रो	R OW
रोक	R OW K
रोकडे	R OW K AH D EY
रोकने	R OW K N EY
रोज	R OW JH
रोज़	R OW Z
रोजा	R OW JH AA
रोट	R OW T
रोटा	R OW T AA
रोटिस्ट	R OW T IH S T
रोटी	R OW T IY
रोठ	R OW T HH
रोडिंग	R OW D IH N G
रोडिल	R OW D IH L
रोन	R OW N
रोने	R OW N EY
रोरोटी	R OW R OW T IY
रोल	R OW L
रोलेट	R OW L EY T
रोलेड	R OW L EY D
रोल्डेड	R OW L D EY D
रोव्हर	R OW W HH AH R
रोस	R OW S
रोज़	R OW Z
र्याव	R Y AA W
र्हा	R HH AA
ऱ्या	R Y AA
ल	L AH
लंग	L AH N G
लंग	L AH NG
लंङे	L AH N N G EY
लंचिग	L AH N CH IH G
लंब	L AH M B
लंबर	L AH N B AH R
लंबी	L AH M B IY
लंबेवर	L AH N B EY W AH R
लंश	L AH N SH
लंस	L AH N S
लई	L IY
लक	L AH K
लकलेले	L AH K AH L EY L EY
लकिंग	L AH K IH N G
लक्श	L AH K SH
लक्स	L AH K S
लकड़ी	L AH K AH D IY
लग	L AH G
लगता	L AH G TH AA
लगती	L AH G TH IY
लगते	L AH G TH EY
लगना	L AH G N AA
लगने	L AH G N EY
लगवाता	L AH G W AA TH AA
लगवाये	L AH G W AA Y EY
लगा	L AH G AA
लगाए	L AH G AA EY
लगाएंगे	L AH G AA EY N G EY
लगाएंगे	L AH G AA EY NG G EY
लगाकर	L AH G AA K AH R
लगाता	L AH G AA TH AA
लगाना	L AH G AA N AA
लगानी	L AH G AA N IY
लगाने	L AH G AA N EY
लगाया	L AH G AA Y AA
लगाये	L AH G AA Y EY
लगी	L AH G IY
लगीं	L AH G IY
लगे	L AH G EY
लगेंगे	L AH G EY N G EY
लगेंगे	L AH G EY NG G EY
लगेगा	L AH G EY G AA
लगेगी	L AH G EY G IY
लग्बा	L AH G B AA
लघ	L AH G HH
लजा	L AH JH AA
लट	L AH T
लटक	L AH T AH K
लटकर	L AH T K AH R
लटका	L AH T K AA
लटकाकर	L AH T K AA K AH R
लटकाया	L AH T K AA Y AA
लटु	L AH T UH
लटू	L AH T UW
लठु	L AH T HH UH
लड	L AH D
लडका	L AH D K AA
लडकी	L AH D K IY
लडू	L AH D UW
लन	L AH N
लनलि	L AH N L IH
लनिंग	L AH N IH N G
लनिंग	L AH N IH NG
लनीट	L AH N IY T
लनेट	L AH N EY T
लनेड	L AH N EY D
लपवा	L AH P AH W AA
लफ	L AH F
लफ	L AH P HH
लमे	L AH M EY
लमेश	L AH M EY SH
लम्ब	L AH M B
लम्बवर	L AH M B AH W AH R
लम्ब्स	L AH M B S
लयडु	L AH Y AH D UH
लर	L AH R
लरेंट	L AH R EY N T
लर्ज	L AH R JH
लर्ट	L AH R T
लर्नएट	L AH R N EY T
लर्न्ड	L AH R N D
लल	L AH L
ललशलू	L AH L AH SH AH L UW
ललाही	L AH L AA HH IY
लव	L AH W
लवकर	L AH W AH K AH R
लवकल	L AH W AH K AH L
लवरकर	L AH W AH R AH K AH R
लवाकर	L AH W AA K AH R
लविड	L AH W IH D
लविली	L AH W IH L IY
लविवाल	L AH W IH W AA L
लवेड	L AH W EY D
लस	L AH S
लस्सी	L AH S S IY
लहराया	L AH HH R AA Y AA
ला	L AA
ला-like	L AA L AY K
लां	L AA N
लांब	L AA N B
लांबर	L AA N B AH R
लांबल्यावर	L AA N B AH L Y AA W AH R
लांबवर	L AA N B AH W AH R
लांबवल	L AA N B AH W AH L
लांबवून	L AA N B AH W UW N
लांबावर	L AA N B AA W AH R
लांबेवर	L AA N B EY W AH R
लाइ	L AA IH
लाइकली	L AA IH K AH L IY
लाइकी	L AA IH K IY
लाइक्ड	L AA IH K D
लाइजेट	L AY JH EY T
लाइटीन	L AA IH T IY N
लाइन	L AA IH N
लाइफ	L AY P HH
लाइब	L AY B
लाइलिंग	L AA IH L IH N G
लाइस	L AY S
लाई	L AA IY
लाईंग्स	L AY N G S
लाईंग्स	L AY NG G S
लाईस	L AA IY S
लाउंग	L AW N G
लाउंग	L AW NG
लाउंड	L AA UH N D
लाउज	L AW JH
लाउन	L AA UH N
लाऊग	L AW G
लाऊज्ड	L AW Z D
लाऊत	L AW TH
लाऊन	L AA UW N
लाए	L AA EY
लाएनिंग	L AA EY N IH N G
लाक	L AA K
लाकर	L AA K AH R
लाकाला	L AA K AA L AA
लाकेश	L AA K EY SH
लाख	L AA K HH
लाग	L AA G
लागकिरी	L AA G AH K IH R IY
लागलया	L AA G AH L AH Y AA
लागला	L AA G AH L AA
लागली	L AA G AH L IY
लागलीयेत	L AA G AH L IY Y EY TH
लागले	L AA G AH L EY
लागल्य	L AA G AH L Y
लागल्या	L AA G AH L Y AA
लाज	L AA JH
लाजि	L AA JH IH
लाजुन	L AA JH UH N
लाटर्स	L AA T AH R S
लात	L AA TH
लाताताला	L AA TH AA TH AA L AA
लाताल	L AA TH AA L
लाती	L AA TH IY
लाते	L AA TH EY
लाथ	L AA TH
लाथलठु	L AA TH AH L AH T HH UH
लाद	L AA DH
लादिन	L AA DH IH N
लाधा	L AA DH HH AA
लाधाने	L AA DH HH AA N EY
लाधाला	L AA DH HH AA L AA
लान	L AA N
लान्कर	L AA N K AH R
लाफे	L AA P HH EY
लाफेड	L AA P HH EY D
लाफेलललाफेलल	L AA P HH EY L AH L AH L AA P HH EY L AH L
लाफ्टेड	L AA F T EY D
लाबवर	L AA B AH W AH R
लाबा	L AA B AA
लाबावर	L AA B AA W AH R
लाभव	L AA B HH AH W
लाभवर	L AA B HH AH W AH R
लाम	L AA M
लाम्बावर	L AA M B AA W AH R
लाम्बीवर	L AA M B IY W AH R
लायकी	L AY K IY
लायकेस	L AY K EY S
लायनिंग	L AA Y AH N IH N G
लायनी	L AA Y AH N IY
लायविद	L AA Y AH W IH DH
लायवीद	L AA Y AH W IY DH
लाया	L AA Y AA
लाये	L AA Y EY
लायेंगे	L AA Y EY N G EY
लायेंगे	L AA Y EY NG G EY
लारेज	L AA R EY JH
लार्गेस	L AA R G EY S
लाल	L AA L
लालटु	L AA L AH T UH
लालटू	L AA L AH T UW
लालट्टू	L AA L AH T T UW
लालडू	L AA L AH D UW
लालसुन	L AA L AH S UH N
लालस्सी	L AA L AH S S IY
लाला	L AA L AA
लालिपु	L AA L IH P UH
लालीथ	L AA L IY TH
लालू	L AA L UW
लालेटू	L AA L EY T UW
लालेतू	L AA L EY TH UW
लाल्टी	L AA L T IY
लाव	L AA W
लावनले	L AA W AH N AH L EY
लावर	L AA W AH R
लावली	L AA W AH L IY
लावले	L AA W AH L EY
लाववर	L AA W AH W AH R
लावी	L AA W IY
लावील	L AA W IY L
लास	L AA S
लासे	L AA S EY
लासेलटु	L AA S EY L AH T UH
लासेलडू	L AA S EY L AH D UW
लासेलड्डू	L AA S EY L AH D D UW
लासेलेक	L AA S EY L EY K
लास्ट	L AA S T
लाहत	L AA HH AH TH
लाहवाहा	L AA HH AH W AA HH AA
लाही	L AA HH IY
लि	L IH
लिंग	L IH N G
लिंग	L IH NG
लिंब	L IH N B
लिअड	L IH AH D
लिइंग	L IY IH N G
लिइंग	L IY IH NG
लिईंग	L IH IY N G
लिईग	L IH IY G
लिए	L IH EY
लिकली	L IH K AH L IY
लिख	L IH K HH
लिखकेउडु	L IH K HH AH K EY UH D UH
लिखता	L IH K HH TH AA
लिखती	L IH K HH TH IY
लिखलिंग	L IH K HH AH L IH N G
लिखा	L IH K HH AA
लिगेस	L IH G EY S
लिज	L IH JH
लिजम	L IH JH AH M
लिजिंग	L IH JH IH N G
लिजेनिंग	L IH JH EY N IH N G
लिजेनिंग	L IH JH EY N IH NG
लिझन	L IH JH HH AH N
लिट	L IH T
लिटल	L IH T AH L
लिटली	L IH T AH L IY
लिटिंग	L IH T IH N G
लिटिंग	L IH T IH NG
लिटिल	L IH T IH L
लिटील	L IH T IY L
लिट्ल	L IH T AH L
लिट्स	L IH T S
लिडली	L IH D AH L IY
लिनन	L IH N AH N
लिना	L IH N AA
लिपरेट	L IH P R EY T
लिपलाएंस	L IH P AH L AA EY N S
लिपलाय्ड	L IH P L AY D
लिफस	L IH P HH AH S
लिफ्स	L IH P HH S
लिया	L IH Y AA
लियिंग	L IH Y IH N G
लियिंग	L IH Y IH NG
लिरंट	L IH R AH N T
लिल	L IH L
लिव	L IH W
लिवकिंग	L IH W K IH N G
लिवकिंग	L IH W K IH NG
लिवर्स	L IH W AH R S
लिविड	L IH W IH D
लिवुड	L IH W UH D
लिवेज	L IH W EY JH
लिवेट	L IH W EY T
लिवेड	L IH W EY D
लिवेल	L IH W EY L
लिव्सेस	L IH W S EY S
लिव्हर	L IH W HH AH R
लिश	L IH SH
लिशन	L IH SH AH N
लिश्टनिंग	L IH SH T AH N IH N G
लिश्टेन	L IH SH T EY N
लिस	L IH S
लिसन	L IH S AH N
लिसमुळे	L IH S AH M UH L EY
लिसेंथ	L IH S EY N TH
लिसेड	L IH S EY D
लिस्ट	L IH S T
लिस्टन	L IH S T AH N
लिस्टनिंग	L IH S T AH N IH N G
लिस्टनिंग	L IH S T AH N IH NG
लिस्टिन	L IH S T IH N
लिस्टेंड	L IH S T EY N D
लिस्टेन	L IH S T EY N
लिहुन	L IH HH UH N
ली	L IY
लीकली	L IY K AH L IY
लीगल	L IY G AH L
लीगली	L IY G AH L IY
लीजा	L IY JH AA
लीटली	L IY T AH L IY
लीड	L IY D
लीथ	L IY TH
लीन	L IY N
लीपिग्रीटिंग	L IY P IH G R IY T IH N G
लीवीलर	L IY W IY L AH R
लीसिन	L IY S IH N
लु	L UH
लुकड	L UH K AH D
लुकिड	L UH K IH D
लुकेटेड	L UH K EY T EY D
लुकेड	L UH K EY D
लुकेर	L UH K EY R
लुप	L UH P
लुपा	L UH P AA
लू	L UW
लूँगी	L UW N G IY
लूँगी	L UW NG G IY
लूआलू	L UW AA L UW
लूकिक	L UW K IH K
लूकिड	L UW K IH D
लूकिन्ड	L UW K IH N D
लूकॅड	L UW K AE D
लूकेट	L UW K EY T
लूकेटेट	L UW K EY T EY T
लूकेड	L UW K EH D
लूकेशन	L UW K EY SH AH N
लूक्ट	L UW K T
लूक्ड	L UW K D
लूट	L UW T
लूड	L UW D
लूभा	L UW B HH AA
लूला	L UW L AA
लॅ	L AE
लॅक	L AE K
लॅग	L AE G
लॅथिन	L AE TH IH N
लॅन	L AE N
लॅनिंग	L AE N IH N G
लॅनिंग	L AE N IH NG
लॅन्कड	L AE N K AH D
लॅपटॉप	L AE P T AO P
लॅप्ट	L AE P T
लॅम	L AE M
लॅमंड	L AE M AH N D
लॅम्बेस	L AE M B EY S
लॅम्बोन	L AE M B OW N
लॅव	L AE W
ले	L EY
लेंग	L EY N G
लेंग	L EY NG
लेंगे	L EY N G EY
लेंगे	L EY NG G EY
लेंच	L EY N CH
लेंज	L EY N JH
लेंड	L EY N D
लेंस	L EY N S
लेऑफ्ट	L EY AO F T
लेकर	L EY K AH R
लेकिंग	L EY K IH N G
लेकिन	L EY K IH N
लेकीन	L EY K IY N
लेके	L EY K EY
लेखने	L EY K HH N EY
लेज	L EY JH
लेटन	L EH T AH N
लेटिस	L EH T IH S
लेटीस	L EY T IH S
लेटेगी	L EY T EY G IY
लेट्ली	L EY T L IY
लेती	L EY TH IY
लेते	L EY TH EY
लेथ	L EY TH
लेथर	L EY TH AH R
लेद	L EY DH
लेन	L EY N
लेनिंग	L EY N IH N G
लेनड़	L EY N AH D
लेम	L EY M
लेयिंग	L EY Y IH N G
लेरंट	L EY R AH N T
लेरिंग	L EY R IH N G
लेर्ज	L EY R JH
लेर्नेट	L EY R N EY T
लेली	L EY L IY
लेवेस	L EY W EY S
लेव्ड	L EY W D
लेशन	L EY SH AH N
लेश्ट	L EY SH T
लेस	L EY S
लेसनेट	L EY S N EH T
लेस्टिंग	L EY S T IH N G
लेज़ि	L EY Z IH
लेज़िंग	L EY Z IH N G
लेज़ी	L EY Z IY
लैईंग	L EY IY N G
लैईंग	L EY IY NG
लैकिंग	L EY K IH N G
लैन	L EY N
लैस	L EY S
लॉ	L AO
लॉएड	L AO EY D
लॉकिट	L AO K IH T
लॉकेट	L AO K EY T
लॉकेड	L AO K EY D
लॉच	L AO CH
लॉन्गिड	L AO N G IH D
लॉन्गेड	L AO N G EY D
लॉन्चिट	L AO N CH IH T
लॉप	L AO P
लॉफ	L AO P HH
लॉयंस	L AO Y AH N S
लॉयन	L AO Y AH N
लॉल्स	L AO L S
लॉव्ट	L AO W T
लॉश	L AO SH
लो	L OW
लोइंग	L OW IH N G
लोइन	L OW IH N
लोक	L OW K
लोकला	L OW K AH L AA
लोकलानी	L OW K AH L AA N IY
लोकलाही	L OW K AH L AA HH IY
लोकश	L OW K AH SH
लोका	L OW K AA
लोकांनाही	L OW K AA N N AA HH IY
लोकालाही	L OW K AA L AA HH IY
लोकेड	L OW K EY D
लोग	L OW G
लोगो	L OW G OW
लोगों	L OW G OW
लोज	L OW JH
लोजत	L OW JH AH TH
लोट	L OW T
लोटकर	L OW T K AH R
लोट्स	L OW T S
लोड्ली	L OW D L IY
लोती	L OW TH IY
लोयंस	L OW Y AH N S
लोयन	L OW Y AH N
लोल	L OW L
लोले	L OW L EY
लोस्ट	L OW S T
लोहेट	L OW HH EY T
लौइस	L AO IH S
लौट	L AO T
लौटकर	L AO T K AH R
लौटका	L AO T K AA
लौटे	L AO T EY
ल्या	L Y AA
ल्यांक	L Y AA N K
ल्यांक	L Y AA NG K
ल्याने	L Y AA N EY
ल्यावर	L Y AA W AH R
लड़का	L AH D K AA
लड़की	L AH D K IY
लड़ाई	L AH D AA IY
ळ	L
ळा	L AA
ळाने	L AA N EY
ळे	L EY
ळेने	L EY N EY
ळेवर	L EY W AH R
व	W AH
वं	W AH N
वंकी	W AH N K IY
वंकी	W AH NG K IY
वंग्स	W AH N G S
वंग्स	W AH NG G S
वंचि	W AH N CH IH
वंट	W AH N T
वंड	W AH N D
वंडर	W AH N D AH R
वंडरड	W AH N D AH R AH D
वंडरे	W AH N D AH R EY
वंडरेड	W AH N D AH R EY D
वंडेर	W AH N D EY R
वआज	W AH AA JH
वक	W AH K
वकरी	W AH K AH R IY
वग	W AH G
वगर	W AH G AH R
वज	W AH JH
वजह	W AH JH AH HH
वजा	W AH JH AA
वट	W AH T
वटर	W AH T AH R
वटल्यावर	W AH T AH L Y AA W AH R
वड	W AH D
वडदिवशी	W AH D AH DH IH W AH SH IY
वडिक्ट	W AH D IH K T
वडी	W AH D IY
वतो	W AH TH OW
वथ	W AH TH
वथर	W AH TH AH R
वथस	W AH TH AH S
वद	W AH DH
वदर	W AH DH AH R
वदल	W AH DH AH L
वन	W AH N
वनतिस	W AH N AH TH IH S
वनतीस	W AH N AH TH IY S
वनदर	W AH N AH DH AH R
वनली	W AH N AH L IY
वनसठ	W AH N AH S AH T HH
वनहत्तर	W AH N AH HH AH TH TH AH R
वनिंग	W AH N IH N G
वन्ट	W AH N T
वन्डर्डेड	W AH N D AH R D EY D
वप	W AH P
वफेड	W AH P HH EY D
वब	W AH B
वबड	W AH B AH D
वम	W AH M
वय	W AH Y
वयरी	W AH Y AH R IY
वर	W AH R
वरंड	W AH R AH N D
वरडेक	W AH R AH D EY K
वरिक्ट	W AH R IH K T
वरिड	W AH R IH D
वरून	W AH R UW N
वरेन्ट	W AH R EY N T
वर्क	W AH R K
वर्कर	W AH R K AH R
वर्किट	W AH R K IH T
वर्टीश	W AH R T IY SH
वर्डिकल	W AH R D IH K AH L
वर्डीकट	W AH R D IY K AH T
वर्डीकेड	W AH R D IY K EY D
वर्डे	W AH R D EY
वर्डेड	W AH R D EY D
वर्ड्ज	W AH R D JH
वर्ड्याक	W AH R D Y AA K
वर्ण	W AH R N N
वर्न	W AH R N
वर्नेट	W AH R N EY T
वर्म	W AH R M
वर्मिली	W AH R M IH L IY
वर्स	W AH R S
वल	W AH L
वलंसिक	W AH L AH N S IH K
वलफ	W AH L AH P HH
वलि	W AH L IH
वली	W AH L IY
वले	W AH L EY
वल्क	W AH L K
वल्किंग	W AH L K IH N G
वल्ट	W AH L T
वल्ड	W AH L D
वल्प	W AH L P
वल्फ	W AH L P HH
ववल	W AH W AH L
वविमला	W AH W IH M AH L AA
वश	W AH SH
वश्	W AH SH
वस	W AH S
वह	W AH HH
वहत्तर	W AH HH AH TH TH AH R
वहा	W AH HH AA
वहाँ	W AH HH AA
वहां	W AH HH AA
वही	W AH HH IY
वहीं	W AH HH IY
वहे	W AH HH EY
वा	W AA
वांस	W AA N S
वाआइडर	W AA AY D AH R
वाआयेडर	W AA AA Y EY D AH R
वाइ	W AY
वाइंग	W AA IH N G
वाइग	W AY G
वाइट	W AY T
वाइडर	W AY D AH R
वाइल	W AY L
वाइव	W AY W
वाइस	W AA IH S
वाइस्ट	W AA IH S T
वाई	W AA IY
वाईक	W AY K
वाईटेड	W AY T EY D
वाईडे	W AY D EY
वाईल	W AA IH L
वाईलट	W AA IY L AH T
वाउट	W AA UH T
वाउल	W AW L
वाकेड	W AA K EY D
वाकेत	W AA K EY TH
वाग	W AA G
वाग्ड	W AA G D
वाघळी	W AA G HH AH L IY
वाचेज	W AA CH EY JH
वाज	W AA JH
वाजव	W AA JH AH W
वाजेस	W AA JH EY S
वाज्ड	W AA JH D
वाट	W AA T
वाटत	W AA T AH TH
वाटते	W AA T AH TH EY
वाटदिवशी	W AA T AH DH IH W AH SH IY
वाटन	W AA T AH N
वाटर	W AA T AH R
वाटल	W AA T AH L
वाटलं	W AA T AH L AH N
वाटलया	W AA T AH L AH Y AA
वाटली	W AA T AH L IY
वाटले	W AA T AH L EY
वाटलेवर	W AA T AH L EY W AH R
वाटल्या	W AA T AH L Y AA
वाटल्यान	W AA T AH L Y AA N
वाटल्यानंतर	W AA T AH L Y AA N AH N TH AH R
वाटल्यामवर	W AA T AH L Y AA M AH W AH R
वाटल्यामुळे	W AA T AH L Y AA M UH L EY
वाटल्याला	W AA T AH L Y AA L AA
वाटल्याव	W AA T AH L Y AA W
वाटल्यावर	W AA T AH L Y AA W AH R
वाटल्यावरी	W AA T AH L Y AA W AH R IY
वाटल्यावल	W AA T AH L Y AA W AH L
वाटवर	W AA T AH W AH R
वाटवाले	W AA T AH W AA L EY
वाटा	W AA T AA
वाटाय	W AA T AA Y
वाटायला	W AA T AA Y AH L AA
वाटायवर	W AA T AA Y AH W AH R
वाटाल्यावर	W AA T AA L Y AA W AH R
वाटाव	W AA T AA W
वाटे	W AA T EY
वाटेत	W AA T EY TH
वाटेल	W AA T EY L
वाटेला	W AA T EY L AA
वाटेल्त	W AA T EY L TH
वाटेल्यावर	W AA T EY L Y AA W AH R
वाट्यावर	W AA T Y AA W AH R
वाड	W AA D
वाडदि	W AA D AH DH IH
वाडदिव	W AA D AH DH IH W
वाडदिवशी	W AA D AH DH IH W AH SH IY
वाडदिवस	W AA D AH DH IH W AH S
वाडदिवसांची	W AA D AH DH IH W AH S AA N CH IY
वाडली	W AA D AH L IY
वाढ	W AA D HH
वाढत	W AA D HH AH TH
वाढद	W AA D HH AH DH
वाढदि	W AA D HH AH DH IH
वाढदिदिवशी	W AA D HH AH DH IH DH IH W AH SH IY
वाढदिन	W AA D HH AH DH IH N
वाढदिव	W AA D HH AH DH IH W
वाढदिवश	W AA D HH AH DH IH W AH SH
वाढदिवशशी	W AA D HH AH DH IH W AH SH AH SH IY
वाढदिवशा	W AA D HH AH DH IH W AH SH AA
वाढदिवशाची	W AA D HH AH DH IH W AH SH AA CH IY
वाढदिवशाशी	W AA D HH AH DH IH W AH SH AA SH IY
वाढदिवशी	W AA D HH AH DH IH W AH SH IY
वाढदिवशीची	W AA D HH AH DH IH W AH SH IY CH IY
वाढदिवस	W AA D HH AH DH IH W AH S
वाढदिवसा	W AA D HH AH DH IH W AH S AA
वाढदिवसाची	W AA D HH AH DH IH W AH S AA CH IY
वाढदिवसाचे	W AA D HH AH DH IH W AH S AA CH EY
वाढदिवसाछी	W AA D HH AH DH IH W AH S AA CH HH IY
वाढदिवसाशी	W AA D HH AH DH IH W AH S AA SH IY
वाढदिवसासाठी	W AA D HH AH DH IH W AH S AA S AA T HH IY
वाढली	W AA D HH AH L IY
वाढले	W AA D HH AH L EY
वाढव	W AA D HH AH W
वाढी	W AA D HH IY
वाढील	W AA D HH IY L
वाढीला	W AA D HH IY L AA
वाढु	W AA D HH UH
वाढुन	W AA D HH UH N
वातेत	W AA TH EY TH
वाददिव	W AA DH AH DH IH W
वाददिवशी	W AA DH AH DH IH W AH SH IY
वादली	W AA DH AH L IY
वादळी	W AA DH AH L IY
वाधली	W AA DH HH AH L IY
वान	W AA N
वान्ट	W AA N T
वापस	W AA P AH S
वाप्ट	W AA P T
वाफ	W AA P HH
वाबाबकरी	W AA B AA B AH K AH R IY
वाम	W AA M
वाय	W AY
वायल्स	W AA Y AH L S
वार	W AA R
वाल	W AA L
वाला	W AA L AA
वाली	W AA L IY
वाले	W AA L EY
वालों	W AA L OW
वाल्डिंग	W AA L D IH N G
वाव	W AA W
वावट	W AA W AH T
वावुल	W AA W UH L
वावुल्ड	W AA W UH L D
वाशु	W AA SH UH
वाशेर	W AA SH EY R
वास	W AA S
वासाला	W AA S AA L AA
वासी	W AA S IY
वाह	W AA HH
वाहन	W AA HH AH N
वाहु	W AA HH UH
वाहुफ	W AA HH UH P HH
वाॅज	W AO JH
वि	W IH
विंकली	W IH N K AH L IY
विंट	W IH N T
विंटेड	W IH N T EY D
विंथ	W IH N TH
विअ	W IH AH
विअर	W IH AH R
विअर्डस	W IH AH R D AH S
विकि	W IH K IH
विकिंग	W IH K IH N G
विके	W IH K EY
विग	W IH G
विगटिक	W IH G T IH K
विगनिक	W IH G AH N IH K
विगनिग	W IH G AH N IH G
विघ्यालय	W IH G HH Y AA L AH Y
विच	W IH CH
विज	W IH JH
विजेस	W IH JH EY S
विज्बड	W IH JH B AH D
विट	W IH T
विटर	W IH T AH R
विड	W IH D
विडर	W IH D AH R
विडिक	W IH D IH K
विडिक्ट	W IH D IH K T
वित	W IH TH
विथा	W IH TH AA
विथि	W IH TH IH
विथे	W IH TH EY
विद	W IH DH
विदालय	W IH DH AA L AH Y
विद्य	W IH DH Y AH
विद्या	W IH DH Y AA
विद्यालय	W IH DH Y AA L AH Y
विनी	W IH N IY
विन्डम	W IH N D AH M
विन्डर	W IH N D AH R
विफे	W IH P HH EY
विबस्ट	W IH B AH S T
विब्ड	W IH B D
विम	W IH M
विमल	W IH M AH L
विमला	W IH M L AA
विया	W IH Y AA
विरी	W IH R IY
विरो	W IH R OW
विलकिंग	W IH L AH K IH N G
विलि	W IH L IH
विलिव	W IH L IH W
विली	W IH L IY
विले	W IH L EY
विलो	W IH L OW
विलोज	W IH L OW JH
विल्चिंग	W IH L CH IH N G
विल्ड	W IH L D
विल्फ	W IH L P HH
विल्श्व	W IH L SH W
विल्हर	W IH L HH AH R
विव	W IH W
विवड	W IH W AH D
विविड	W IH W IH D
विवेड	W IH W EY D
विशाल	W IH SH AA L
विशिज़	W IH SH IH Z
विशेषता	W IH SH EY SH TH AA
